Epoch	loss	loss_cmc	loss_p2p	loss_b2b
0	11.038773	5.539081	5.498187	0.001506
1	10.492034	5.513536	4.977834	0.000664
2	10.312355	5.495405	4.81639	0.000559
3	10.240324	5.481305	4.75854	0.000479
4	10.20045	5.465059	4.73495	0.000441
5	10.185387	5.446375	4.738602	0.00041
6	10.14789	5.429498	4.718017	0.000375
7	10.139149	5.410969	4.727821	0.00036
8	10.103765	5.395476	4.707944	0.000344
9	10.072467	5.382461	4.689682	0.000324
10	10.045491	5.368157	4.677024	0.000309
11	10.024398	5.358641	4.665457	0.000299
12	10.064376	5.345694	4.71839	0.000292
13	10.022612	5.338403	4.683929	0.00028
14	10.007518	5.331254	4.675993	0.000271
15	9.990503	5.327198	4.663044	0.000262
16	10.006926	5.319077	4.687593	0.000256
17	10.018618	5.31229	4.706081	0.000247
18	9.993605	5.308678	4.684687	0.00024
19	9.999953	5.306947	4.692767	0.00024
20	9.986236	5.301691	4.68431	0.000235
21	9.973808	5.29821	4.675372	0.000226
22	10.008676	5.293866	4.714589	0.000221
23	9.944191	5.294744	4.649233	0.000214
24	10.002511	5.283514	4.71878	0.000217
25	9.986345	5.283573	4.702565	0.000207
26	9.951961	5.282321	4.669435	0.000205
27	9.946901	5.279881	4.666811	0.000209
28	9.936149	5.280122	4.65583	0.000198
29	9.928106	5.277163	4.650751	0.000191
30	9.942521	5.273021	4.669304	0.000195
31	9.94059	5.270269	4.670127	0.000193
32	9.922825	5.269712	4.652927	0.000187
33	9.936557	5.26303	4.673345	0.000182
34	9.916757	5.262808	4.653769	0.000179
35	9.944275	5.258292	4.685803	0.000179
36	9.948054	5.249796	4.698082	0.000177
37	9.919985	5.25227	4.667542	0.000173
38	9.91074	5.249432	4.661136	0.000171
39	9.929066	5.245458	4.68344	0.000168
40	9.913001	5.241391	4.671457	0.000154
41	9.907849	5.241241	4.66646	0.000148
42	9.908707	5.239359	4.669203	0.000145
43	9.917677	5.239428	4.678104	0.000144
44	9.928539	5.237392	4.691003	0.000144
45	9.904335	5.236179	4.668012	0.000143
46	9.901701	5.238247	4.663312	0.000141
47	9.897557	5.238258	4.659158	0.000141
48	9.905815	5.239216	4.666458	0.00014
49	9.904778	5.236478	4.668159	0.00014
50	9.885784	5.234886	4.650759	0.000139
51	9.909424	5.237855	4.671429	0.00014
52	9.891483	5.233931	4.657415	0.000138
53	9.917915	5.234591	4.683185	0.000138
54	9.913644	5.232411	4.681095	0.000138
55	9.880692	5.234808	4.645746	0.000137
56	9.902361	5.234454	4.66777	0.000136
57	9.892568	5.23151	4.660922	0.000136
58	9.920157	5.232347	4.687674	0.000136
59	9.890917	5.230021	4.66076	0.000136
60	9.895468	5.233603	4.66173	0.000135
61	9.891173	5.231934	4.659105	0.000134
62	9.905639	5.229638	4.675866	0.000135
63	9.904538	5.229358	4.675046	0.000134
64	9.923026	5.226646	4.696245	0.000134
65	9.894096	5.22699	4.666972	0.000133
66	9.886263	5.229348	4.656783	0.000133
67	9.891261	5.228195	4.662931	0.000134
68	9.879429	5.230084	4.649211	0.000134
69	9.887325	5.226995	4.660198	0.000132
70	9.896408	5.22687	4.669404	0.000133
71	9.88673	5.22616	4.660438	0.000132
72	9.890941	5.22414	4.666669	0.000132
73	9.918142	5.223332	4.694678	0.000132
74	9.883476	5.222119	4.661226	0.000131
75	9.887955	5.225274	4.66255	0.000131
76	9.893116	5.22298	4.670006	0.000131
77	9.879488	5.222456	4.656901	0.000131
78	9.895296	5.222117	4.673048	0.00013
79	9.877278	5.220286	4.656862	0.00013
80	9.913998	5.218021	4.695846	0.000131
81	9.894652	5.219451	4.675072	0.000129
82	9.880253	5.216861	4.663262	0.00013
83	9.889468	5.218704	4.670634	0.00013
84	9.893371	5.217971	4.675271	0.000129
85	9.88929	5.216808	4.672353	0.000128
86	9.882088	5.214362	4.667597	0.000129
87	9.897156	5.216211	4.680817	0.000128
88	9.882623	5.214306	4.668189	0.000128
89	9.895497	5.214248	4.681121	0.000128
90	9.877861	5.212957	4.664777	0.000128
91	9.891838	5.213372	4.678339	0.000127
92	9.893307	5.208184	4.684996	0.000127
93	9.90078	5.209767	4.690886	0.000127
94	9.877055	5.211201	4.665727	0.000127
95	9.865125	5.212121	4.652877	0.000127
96	9.868433	5.210523	4.657782	0.000128
97	9.869176	5.212604	4.656446	0.000126
98	9.893920	5.213120	4.680674	0.000126
99	9.890790	5.209357	4.681307	0.000126
100	9.886643	5.212497	4.674021	0.000125
101	9.874791	5.212384	4.662282	0.000125
102	9.896256	5.213486	4.682646	0.000124
103	9.890217	5.213141	4.676951	0.000124
104	9.901278	5.214090	4.687064	0.000124
105	9.866213	5.212089	4.659133	0.000124
106	9.879566	5.208567	4.675437	0.000124
107	9.882345	5.213295	4.67595	0.000124
108	9.888075	5.212492	4.681368	0.000124
109	9.883955	5.213762	4.676193	0.000124
